AFNOR;SANDRE;DENOMINATION;CL1;CL2;CL3;CL4;CL5;CL6;CL7;Val.Ind.;Origine
PACR;17013;Pinnularia acrosphaeria (Brébisson)Wm,Smith var, acrosphaeria                                                                             ;0;0,06096;0,07257;0,10072;0,5218;0,22541;0,01855;0,976634453;L-P
PACT;17015;Pinnularia acrosphaeria f, anormale                                                                                                       ;0,84623;0,11048;0,02177;0,01822;0,00319;0,0001;0,00001;1,435805882;T-Cor
PADE;42874;Pantocsekiella delicatula (Hustedt) K,T, Kiss et Ács                                                                                      ;0;0,0017;0,01525;0,24012;0,39382;0,27673;0,07238;0,894437455;T-Cor
PAGP;17069;Placoneis anglophila (Lange-Bertalot) Lange-Bertalot var, anglophila                                                                      ;0;0;0,00977;0,13953;0,6068;0,24389;0;1,127646808;T-Cor
PAHI;;Pinnularia aestuari var, hinganica Skvortzow                                                                                              ;0;0,0062;0,03811;0,13601;0,17199;0,40795;0,23975;0,853533571;T-Cor
PAIR;8282;Pinnularia appendiculata var, irrorata (Grunow in Van Heurck) Mills                                                                       ;0,01118;0;0;0,00939;0,01827;0,34387;0,61728;1,19353634;T-Cor
PAJL;17049;Pinnularia abaujensis var, linearis (Hustedt) Patrick                                                                                     ;0;0,02183;0,16054;0,16497;0,18947;0,21201;0,25118;0,669381277;T-Cor
PAJS;30899;Pinnularia abaujensis var, subundulata (Pantocsek) Ross                                                                                   ;0;0,01458;0,07839;0,17499;0,3378;0,35398;0,04026;0,862497859;T-Cor
PALV;37249;Pseudostaurosira alvareziae Cejudo-Figueras Morales et Ector                                                                              ;0;0,00341;0,05044;0,26041;0,49326;0,18816;0,00432;0,987091457;T-Cor
PAPP;17087;Pinnularia appendiculata (Agardh) Cleve var, appendiculata                                                                                ;0,01118;0;0;0,00939;0,01827;0,34387;0,61728;1,19353634;L-P
PAPR;17088;Parlibellus protractoides (Hustedt) Witkowski et Lange-Bertalot                                                                           ;0,0001;0,00143;0,33395;0,4173;0,22058;0,02627;0,00037;0,964368453;T-Cor
PARO;32366;Psammothidium abundans (Manguin in Bourrelly & Manguin)Bukhtiyarova & Round f, rosenstockii (Lange-Bertalot ) Bukhtiyarova                ;0;0;0;0,13334;0,55589;0,31076;0;1,095835884;T-Cor
PBAH;37239;Platessa bahlsii Potapova                                                                                                                 ;0;0;0,00537;0,68595;0,29027;0,0184;0;1,257827484;T-Cor
PBCP;8284;Pinnularia bicapitata (Lagerstedt) P,T, Cleve                                                                                             ;0;0;0;0,18009;0,58018;0,23973;0;1,100095936;T-Cor
PBDI;8293;Pinnularia brebissonii var, diminuta (Van Heurck) Cleve                                                                                   ;0,03006;0,06954;0,17362;0,17887;0,33013;0,2101;0,00768;0,735785833;T-Cor
PBIC;16800;Pinnularia biceps Gregory var, biceps                                                                                                     ;0;0;0;0,18009;0,58018;0,23973;0;1,100095936;L-P
PBIO;31325;Psammothidium bioretii (Germain) Bukhtiyarova et Round                                                                                    ;0;0,00049;0,00625;0,03205;0,09728;0,53062;0,33332;1,067874618;L-P
PBMU;33442;Pinnularia brebissonii morphotype 1 Krammer                                                                                               ;0,05688;0,19549;0,19858;0,18195;0,13462;0,12637;0,1061;0,517931095;T-Cor
PBND;32454;Pseudostaurosira binodis (Ehrenberg) M,B, Edlund                                                                                          ;0,00014;0,001;0,04266;0,2881;0,38576;0,2792;0,00315;0,924638182;T-Cor
PBOD;16786;Puncticulata bodanica (Grunow in Schneider) Håkansson var, bodanica                                                                       ;0,0218;0,05531;0,11556;0,4669;0,22183;0,11767;0,00094;0,900188927;T-Cor
PBOR;16809;Pinnularia borealis Ehrenberg var, borealis                                                                                               ;0,01658;0,06501;0,08672;0,19181;0,22545;0,27018;0,14423;0,656949383;L-P
PBRA;8290;Pinnularia braunii (Grunow) Cleve var, braunii                                                                                            ;0;0;0,02625;0,04136;0,01931;0,85646;0,05662;1,445521542;T-Cor
PBRC;33441;Pinnularia brebissonii var, curta (O,Müller) Meister                                                                                      ;0,05688;0,19549;0,19858;0,18195;0,13462;0,12637;0,1061;0,517931095;T-Cor
PBRE;16924;Pinnularia brebissonii (Kütz,) Rabenhorst var, brebissonii                                                                                ;0,05688;0,19549;0,19858;0,18195;0,13462;0,12637;0,1061;0,517931095;L-P
PBRN;16926;Pinnularia brauniana (Grunow in Van Heurck) Mills                                                                                         ;0;0;0,02625;0,04136;0,01931;0,85646;0,05662;1,445521542;L-P
PBTG;17107;Pseudostaurosira brevistriata f, anormale                                                                                                 ;0,84623;0,11048;0,02177;0,01822;0,00319;0,0001;0,00001;1,435805882;T-Cor
PBTT;16931;Pseudostaurosira brevistriata var, turgida McCall                                                                                         ;0,00145;0,00406;0,02726;0,28249;0,48124;0,2013;0,00219;0,992749111;T-Cor
PCAG;;Pinnularia cardinalis var, fenestrata f, angustior Skvortzow                                                                              ;0;0,0062;0,03811;0,13601;0,17199;0,40795;0,23975;0,853533571;T-Cor
PCBN;32453;Pseudostaurosira construens var, binodis (Ehrenberg) Edlund                                                                               ;0,00014;0,001;0,04266;0,2881;0,38576;0,2792;0,00315;0,924638182;T-Cor
PCDF;;Pinnularia cardinalis var, fenestrata Skvortzow                                                                                           ;0;0,0062;0,03811;0,13601;0,17199;0,40795;0,23975;0,853533571;T-Cor
PCHL;16915;Psammothidium chlidanos (Hohn et Hellerman) Lange-Bertalot                                                                                ;0;0;0,00919;0,01578;0,16575;0,41596;0,39332;0,997215738;L-P
PCHT;;Pantocsekiella chantaica (Kuzmina et Genkal) K,T, Kiss, Genkal et Ács                                                                     ;0;0;0;0,04127;0,86716;0,09157;0;1,466359767;T-Cor
PCIT;;Playaensis citrus (Krasske) E, Reichardt nov, comb,                                                                                       ;0;0,05711;0,45304;0,29863;0,10568;0,07095;0,01459;0,929020725;T-Cor
PCLD;8384;Placoneis clementioides (Hustedt) Cox                                                                                                     ;0;0;0,12669;0,71295;0,01664;0,06991;0,07382;1,234888088;L-P
PCLT;8385;Placoneis clementis (Grun,) Cox var, clementis                                                                                            ;0;0,00123;0,01243;0,18911;0,36172;0,42701;0,00851;0,987197281;L-P
PCMS;42873;Pantocsekiella comensis (Grunow in Van Heurck) K,T, Kiss et Ács                                                                           ;0,00457;0,00211;0,01948;0,34795;0,33866;0,27672;0,01051;0,926831315;T-Cor
PCNE;38624;Placoneis cuneata (M, Moller ex Foged) Potapova                                                                                           ;0;0;0;0,00947;0,1857;0,79835;0,00648;1,380686628;T-Cor
PCOS;42844;Pantocsekiella costei (Druart et F, Straub) K,T, Kiss et Ács                                                                              ;0;0,0017;0,01525;0,24012;0,39382;0,27673;0,07238;0,894437455;T-Cor
PCPU;40210;Planothidium caputium J,Zimmermann et R,Jahn                                                                                              ;0,00674;0,04245;0,1869;0,34437;0,30939;0,10397;0,00619;0,830015289;T-Cor
PCTA;16954;Placoneis constans (Hustedt) E,J, Cox var, constans                                                                                       ;0;0,00773;0,04276;0,25982;0,55268;0,13702;0;1,054243832;L-P
PDAO;32195;Psammothidium daonense (Lange-Bertalot) Lange-Bertalot                                                                                    ;0;0;0,0015;0,00699;0,06144;0,17681;0,75326;1,309474159;L-P
PDAU;16951;Planothidium daui (Foged) Lange-Bertalot                                                                                                  ;0,00007;0,00077;0,01309;0,12939;0,27152;0,45979;0,12537;0,935359326;L-P
PDBT;16979;Pseudostaurosira brevistriata var, trigibba (Pantocsek) Hustedt                                                                           ;0,00145;0,00406;0,02726;0,28249;0,48124;0,2013;0,00219;0,992749111;T-Cor
PDDY;;Pinnularia didyma Ehrenberg;0;0,45864;0,37491;0,10706;0,05938;0;0;1,013218952;T-Cor
PDGT;34789;Pinnularia digitoradiata (Grunow) Krammer                                                                                                 ;0;0,86265;0,03295;0,1044;0;0;0;1,460941397;T-Cor
PDIG;16990;Pinnularia decrescens var, ignorata Krammer                                                                                               ;0;0,86265;0,03295;0,1044;0;0;0;1,460941397;T-Cor
PDII;32703;Pinnularia divergens var, ignorata Krammer                                                                                                ;0;0,86265;0,03295;0,1044;0;0;0;1,460941397;T-Cor
PDIV;17138;Pinnularia divergens W,M,Smith var, divergens                                                                                             ;0;0;0;0,02568;0,25642;0,64757;0,07032;1,182465931;L-P
PDMT;38625;Placoneis clementispronina Lange-Bertalot et Wojtal                                                                                       ;0;0,00123;0,01243;0,18911;0,36172;0,42701;0,00851;0,987197281;T-Cor
PEGC;30927;Placoneis clementis var, cuneata (Moller ex Foged) Lange-Bertalot in Kelly                                                                ;0;0;0;0,00947;0,1857;0,79835;0,00648;1,380686628;T-Cor
PELG;8387;Placoneis elginensis (Gregory) Cox var, elginensis                                                                                        ;0,00162;0,00451;0,02855;0,33266;0,4386;0,19157;0,00249;0,973434489;L-P
PERI;8543;Peronia erinacea Brébisson et Arnott ex Kitton                                                                                            ;0;0;0,00008;0;0,00196;0,0256;0,97237;1,62390306;T-Cor
PFAS;28226;Pinnularia fasciata (Lagerstedt) Hustedt                                                                                                  ;0,00003;0,00111;0,01711;0,11729;0,53532;0,3181;0,01103;1,066099387;T-Cor
PFIB;8544;Peronia fibula (Brébisson ex Kützing)Ross                                                                                                 ;0;0;0,00008;0;0,00196;0,0256;0,97237;1,62390306;L-P
PFIT;17230;Peronia fibula f, anormale                                                                                                                ;0,84623;0,11048;0,02177;0,01822;0,00319;0,0001;0,00001;1,435805882;T-Cor
PFMA;17232;Planothidium frequentissimum var, magnum (Straub) Lange-Bertalot                                                                          ;0,00674;0,04245;0,1869;0,34437;0,30939;0,10397;0,00619;0,830015289;T-Cor
PFQS;43684;Planothidium frequentissimum Round et Bukhtiyarova in Zidarova et al,                                                                     ;0,00674;0,04245;0,1869;0,34437;0,30939;0,10397;0,00619;0,830015289;T-Cor
PFTN;34839;Pseudofallacia tenera (Hustedt) Liu Kociolek et Wang                                                                                      ;0;0;0,24828;0,72445;0,0203;0,00201;0,00496;1,292786698;T-Cor
PGAS;8389;Placoneis gastrum (Ehr,) Mereschkowsky sensu stricto                                                                                      ;0;0;0,11705;0,30618;0,54646;0,03031;0;1,073218;L-P
PGCR;33366;Pinnularia globiceps var, crassior Grunow in Cleve et Grunow                                                                              ;0;0;0,01802;0,21874;0,52054;0,23623;0,00648;1,026915202;T-Cor
PGDA;20699;Psammothidium grischunum (Wuthrich) Bukhtiyarova et Round f, daonensis (Lange-Bertalot in Lange-Bertalot et Krammer) Bukhtiyarova et Round;0;0;0,0015;0,00699;0,06144;0,17681;0,75326;1,309474159;T-Cor
PGIB;8312;Pinnularia gibba Ehrenberg var, gibba                                                                                                     ;0;0,01458;0,07839;0,17499;0,3378;0,35398;0,04026;0,862497859;L-P
PGIF;17225;Pinnularia gibbiformis Krammer var, gibbiformis                                                                                           ;0;0,01458;0,07839;0,17499;0,3378;0,35398;0,04026;0,862497859;T-Cor
PGIP;44398;Pinnularia gibba Ehrenberg var, parva (Grunow) Frenguelli                                                                                 ;0;0,01458;0,07839;0,17499;0,3378;0,35398;0,04026;0,862497859;T-Cor
PGLI;8313;Pinnularia gibba var, linearis Hustedt                                                                                                    ;0;0,02183;0,16054;0,16497;0,18947;0,21201;0,25118;0,669381277;T-Cor
PGLO;17248;Pinnularia globiceps Gregory var, globiceps                                                                                               ;0,00153;0,01921;0,2808;0,68071;0,01775;0,00002;0;1,243966486;L-P
PGRA;8320;Pinnularia gracillima Gregory                                                                                                             ;0;0;0;0,07498;0,22065;0,27304;0,43132;0,930411154;T-Cor
PGRI;17253;Psammothidium grischunum (Wuthrich) Bukhtiyarova et Round                                                                                 ;0;0;0,0192;0,03461;0,46133;0,48485;0;1,13054207;L-P
PGRN;17281;Planothidium granum (Hohn et Hellerman) Lange-Bertalot                                                                                    ;0;0;0,01642;0,1248;0,32972;0,43083;0,09823;0,938891784;L-P
PGSH;43250;Placogeia schoenfeldii (Hust,) Bukhtiyarova                                                                                               ;0;0;0;0;0,28138;0,54741;0,17121;1,074844032;T-Cor
PGSM;43251;Placogeia similis (Krasske) Bukhtiyarova                                                                                                  ;0;0;0,01621;0,34489;0,60834;0,01889;0,01166;1,181348422;T-Cor
PGSU;8316;Pinnularia gibba var, subundulata Mayer ex Hustedt                                                                                        ;0;0,01458;0,07839;0,17499;0,3378;0,35398;0,04026;0,862497859;T-Cor
PHEL;31317;Psammothidium helveticum (Hustedt) Bukhtiyarova et Round var, helveticum                                                                  ;0;0,00056;0,01435;0,06426;0,17637;0,29857;0,44589;0,945001197;L-P
PHER;8545;Peronia heribaudii Brun & M,Peragallo in Héribaud                                                                                         ;0;0;0,00008;0;0,00196;0,0256;0,97237;1,62390306;T-Cor
PHIL;8323;Pinnularia hilseana Janisch in Hilse                                                                                                      ;0;0,00865;0,02628;0,02812;0,12332;0,4492;0,36444;0,990668168;T-Cor
PHMI;31313;Psammothidium helveticum (Hustedt) Bukhtiyarova et Round var, minor (Flower et Jones) Buzcko?                                             ;0;0,00056;0,01435;0,06426;0,17637;0,29857;0,44589;0,945001197;T-Cor
PHUT;17473;Psammothidium hustedtii (Krasske) Mayama                                                                                                  ;0;0,00021;0,01556;0,62206;0,02271;0,3348;0,00466;1,193537709;T-Cor
PIBI;8328;Pinnularia interrupta f, biceps (Gregory) Cleve                                                                                           ;0;0;0;0,18009;0,58018;0,23973;0;1,100095936;T-Cor
PICR;33365;Pinnularia interrupta var, crassior (Grunow) Cleve                                                                                        ;0;0;0,01802;0,21874;0,52054;0,23623;0,00648;1,026915202;T-Cor
PILK;17309;Pinnularia ilkaschoenfelderae Krammer                                                                                                     ;0;0,0062;0,03811;0,13601;0,17199;0,40795;0,23975;0,853533571;T-Cor
PINT;8327;Pinnularia interrupta W,M,Smith var, interrupta                                                                                           ;0;0;0;0,18009;0,58018;0,23973;0;1,100095936;T-Cor
PIPL;38570;Pinnularia placentula hrenberg                                                                                                            ;0,01418;0,00562;0,03601;0,34495;0,50861;0,09063;0;1,045266651;T-Cor
PIRR;8331;Pinnularia irrorata (Grunow) Hustedt                                                                                                      ;0,01118;0;0;0,00939;0,01827;0,34387;0,61728;1,19353634;T-Cor
PITE;28553;Prestauroneis integra (W,Smith) Bruder                                                                                                    ;0;0,00759;0,175;0,36459;0,28968;0,16314;0;0,854855281;T-Cor
PITG;31836;Pinnularia species f, anormale                                                                                                            ;0,84623;0,11048;0,02177;0,01822;0,00319;0,0001;0,00001;1,435805882;T-Cor
PKCH;;Pantocsekiella chantaica (Kuzmina et Genkal) K,T,Kiss Genkal et Ács emend Genkal                                                          ;0;0;0;0,04127;0,86716;0,09157;0;1,466359767;T-Cor
PKPA;;Pantocsekiella palustris (Genkal et Kulikovskiy) K,T, Kiss, Genkal et Ács                                                                 ;0;0;0;0,04127;0,86716;0,09157;0;1,466359767;T-Cor
PKPO;42877;Pantocsekiella polymorpha (B, Meyer et Håkansson) K,T, Kiss et Ács                                                                        ;0,0044;0,00204;0,00313;0,31546;0,57075;0,09523;0,009;1,110752856;T-Cor
PKRY;17355;Psammothidium kryophilum (Petersen) Reichardt                                                                                             ;0;0;0;0;0,92662;0,07338;0;1,556106092;L-P
PKTZ;42875;Pantocsekiella kuetzingiana (Thwaites) K,T, Kiss et Ács                                                                                   ;0;0;0,03375;0,53176;0,43449;0;0;1,160179763;T-Cor
PLAU;32031;Psammothidium lauenburgianum (Hustedt) Bukhtiyarova et Round                                                                              ;0,00031;0,01061;0,01376;0,12895;0,45894;0,38646;0,00096;1,029803109;L-P
PLBI;17390;Planothidium biporomum (Hohn et Hellerman) Lange-Bertalot                                                                                 ;0;0;0;0,45728;0,37364;0,16909;0;1,030376401;L-P
PLCM;43685;Planothidium lanceolatum (Brébisson) Round et Bukhtiyarova                                                                                ;0,00391;0,03418;0,11119;0,20825;0,38276;0,24807;0,01165;0,836563684;T-Cor
PLEM;17396;Planothidium lemmermannii (Hustedt) Morales                                                                                               ;0;0;0;0,33857;0,61063;0,0508;0;1,181701441;L-P
PLEN;17397;Planothidium engelbrechtii (Choln,) Round et Bukhtiyarova                                                                                 ;0;0;0,00747;0,85336;0,12602;0,0127;0,00045;1,450010025;L-P
PLEV;17399;Pleurosira laevis f, laevis Ehrenberg var, laevis                                                                                         ;0;0,70034;0,16627;0,13255;0,00084;0;0;1,23572604;L-P
PLFQ;43294;Planothidium frequentissimum (Lange-Bertalot) Round et Bukhtiyarova                                                                       ;0,00674;0,04245;0,1869;0,34437;0,30939;0,10397;0,00619;0,830015289;T-Cor
PLFR;8393;Planothidium frequentissimum (Lange-Bertalot)Lange-Bertalot var, frequentissimum                                                          ;0,00674;0,04245;0,1869;0,34437;0,30939;0,10397;0,00619;0,830015289;L-P
PLFT;17401;Planothidium frequentissimum f, anormale                                                                                                  ;0,84623;0,11048;0,02177;0,01822;0,00319;0,0001;0,00001;1,435805882;T-Cor
PLHO;17405;Platessa holsatica (Hustedt) Lange-Bertalot                                                                                               ;0;0;0,1181;0,41358;0,3373;0,13102;0;0,932200134;T-Cor
PLHU;17406;Platessa hustedtii (Krasske) Lange-Bertalot                                                                                               ;0;0,00021;0,01556;0,62206;0,02271;0,3348;0,00466;1,193537709;T-Cor
PLIG;8390;Placoneis ignorata (Schimanski) Lange-Bertalot in Rumrich et al,                                                                          ;0;0;0;0,00947;0,1857;0,79835;0,00648;1,380686628;L-P
PLNE;38714;Planothidium ellipticum (P,T, Cleve) M, B, Edlund                                                                                         ;0,03408;0,11888;0,3079;0,41953;0,08311;0,03647;0,00003;0,893571568;T-Cor
PLNF;32678;Pleurosigma nodiferum Grunow in Cleve et Grunow                                                                                           ;0,00005;0,00007;0,00502;0,10408;0,72187;0,16828;0,00063;1,263539914;T-Cor
PLUH;34906;Platessa lutheri (Hustedt) Potapova                                                                                                       ;0;0;0,1404;0,26729;0,50891;0,08339;0;0,999670666;T-Cor
PLUN;17458;Pinnularia lundii Hustedt var, lundii                                                                                                     ;0;0;0,01802;0,21874;0,52054;0,23623;0,00648;1,026915202;L-P
PLVI;35813;Planothidium victori Novis Braidwood et Kilroy                                                                                            ;0,00674;0,04245;0,1869;0,34437;0,30939;0,10397;0,00619;0,830015289;T-Cor
PMAJ;8340;Pinnularia major (Kützing) Rabenhorst var, major                                                                                          ;0;0;0,00956;0,10397;0,34129;0,54518;0;1,097506561;L-P
PMBD;32645;Pinnularia microstauron var, brebissonii (Kütz,)Mayer f, diminuta Hustedt                                                                 ;0;0;0,02653;0,27328;0,55743;0,12367;0,01908;1,065882853;T-Cor
PMBR;8347;Pinnularia microstauron var, brebissonii (Kützing) Mayer                                                                                  ;0,05688;0,19549;0,19858;0,18195;0,13462;0,12637;0,1061;0,517931095;T-Cor
PMDC;30018;Pinnularia mediocris (Krasske) F,W, Mills                                                                                                 ;0;0;0,02023;0;0,00047;0,01179;0,96751;1,61621846;T-Cor
PMES;17505;Pinnularia mesolepta (Ehrenberg) W,M,Smith var, mesolepta                                                                                 ;0;0,01041;0;0,07561;0,09414;0,25628;0,56356;1,060473657;L-P
PMEU;33461;Pinnularia mesolepta morphotype 1 Krammer                                                                                                 ;0;0;0;0,18009;0,58018;0,23973;0;1,100095936;T-Cor
PMIC;17476;Pinnularia microstauron (Ehr,) Cleve var, microstauron                                                                                    ;0,05062;0,43389;0,26014;0,09604;0,07837;0,0469;0,03404;0,860942009;L-P
PMMO;32435;Psammothidium montanum (Krasske) Aboal                                                                                                    ;0;0,07775;0,40486;0,32671;0,19068;0;0;0,927193543;T-Cor
PMOC;34824;Pseudofallacia monoculata (Hustedt) Liu Kociolek et Wang                                                                                  ;0,03455;0,13351;0,15434;0,37873;0,19413;0,10464;0,0001;0,769995722;T-Cor
PMOL;8348;Pinnularia molaris (Grunow) Cleve                                                                                                         ;0;0,01818;0,07336;0,45392;0,24413;0,20037;0,01004;0,924660028;T-Cor
PMRG;17513;Psammothidium marginulatum (Grunow in Cleve & Grunow) Bukhtiyarova et Round                                                                                   ;0;0;0,00011;0,00113;0,02775;0,12967;0,84135;1,432355865;L-P
PMTG;17484;Pinnularia microstauron f, anormale                                                                                                       ;0,84623;0,11048;0,02177;0,01822;0,00319;0,0001;0,00001;1,435805882;T-Cor
PMTH;32602;Psammothidium hustedtii (Krasske) M, Aboal                                                                                                ;0;0,00021;0,01556;0,62206;0,02271;0,3348;0,00466;1,193537709;T-Cor
PMTN;32436;Psammothidium montanum (Krasske) Mayama                                                                                                   ;0;0,07775;0,40486;0,32671;0,19068;0;0;0,927193543;L-P
PMUL;43252;Planothidium minusculum (Hustedt) Witkowski, Kulikovskiy et Pli?ski                                                                       ;0;0;0,00163;0,27754;0,70334;0,01516;0,00234;1,276477282;T-Cor
PMUS;8349;Pinnularia muscicola Petersen                                                                                                             ;0;0;0,49919;0,27575;0,14896;0,04476;0,03135;0,989160655;T-Cor
PNCO;30937;Planothidium conspicuum (A,Mayer) M, Aboal                                                                                                ;0,00095;0,0085;0,03608;0,18834;0,59907;0,16587;0,00119;1,095668465;T-Cor
PNOD;17556;Pinnularia nodosa (Ehrenberg) W,Smith var, nodosa                                                                                         ;0;0;0;0;0,12548;0,87452;0;1,483140778;L-P
PNOI;30920;Pinnularia nobilis var, intermedia Dippel                                                                                                 ;0;0;0,00956;0,10397;0,34129;0,54518;0;1,097506561;T-Cor
PNPT;;Prestauroneis protracta (Grunow) Kulikovskiy & Glushchenko in Kulikovskiy & al,                                                           ;0,0001;0,00143;0,33395;0,4173;0,22058;0,02627;0,00037;0,964368453;T-Cor
POBF;17543;Pinnularia obscuriformis Krammer                                                                                                          ;0,03006;0,06954;0,17362;0,17887;0,33013;0,2101;0,00768;0,735785833;T-Cor
POBG;32401;Psammothidium oblongellum Østrup) Van de Vijver                                                                                           ;0,00001;0,00165;0,00238;0,02368;0,12258;0,34576;0,50394;1,04771735;L-P
POBL;44396;Platessa oblongella (Østrup) C,E, Wetzel, Lange-Bertalot & Ector                                                                          ;0,00001;0,00165;0,00238;0,02368;0,12258;0,34576;0,50394;1,04771735;T-Cor
POBS;8353;Pinnularia obscura Krasske                                                                                                                ;0,03006;0,06954;0,17362;0,17887;0,33013;0,2101;0,00768;0,735785833;L-P
POCL;42876;Pantocsekiella ocellata (Pantocsek) K,T, Kiss et Ács                                                                                      ;0,00424;0,01503;0,0399;0,2952;0,5406;0,10486;0,00018;1,052229965;T-Cor
POGT;44395;Platessa oblongella (Østrup) C,E, Wetzel, Lange-Bertalot & Ector f, anormale                                                              ;0,84623;0,11048;0,02177;0,01822;0,00319;0,0001;0,00001;1,435805882;T-Cor
POTG;32402;Psammothidium oblongellum f, anormale                                                                                                     ;0,84623;0,11048;0,02177;0,01822;0,00319;0,0001;0,00001;1,435805882;T-Cor
PPAV;32653;Pinnularia parva (Ehrenberg) Gregory var, parva                                                                                           ;0,00076;0,01275;0,78862;0,19748;0,00032;0,00006;0;1,369844897;T-Cor
PPDT;17617;Planothidium pseudotanense (Cleve-Euler) Lange-Bertalot                                                                                   ;0;0;0;0;0,61087;0,38913;0;1,222875419;L-P
PPEF;30966;Pseudostephanodiscus perforatus Genkal et Kuzmin) Siemenska                                                                               ;0,00079;0,04985;0,43115;0,25497;0,23292;0,02871;0,00162;0,919119199;T-Cor
PPIF;34790;Planothidium piaficum (J,R, Carter et Denny) C,E, Wetzel et Ector                                                                         ;0,00017;0,00149;0,02649;0,26516;0,48219;0,22342;0,00108;0,993945455;T-Cor
PPLC;8391;Placoneis placentula (Ehr,) Heinzerling var, placentula                                                                                   ;0,01418;0,00562;0,03601;0,34495;0,50861;0,09063;0;1,045266651;L-P
PPLR;17628;Placoneis placentula f, rostrata (Mayer) Bukhtiyarova                                                                                     ;0;0;0,01057;0,18743;0,72928;0,0385;0,03421;1,274040094;L-P
PPPL;38565;Paraplaconeis placentula (Ehrenberg) Kulikovskiy et Lange-Bertalot                                                                        ;0,01418;0,00562;0,03601;0,34495;0,50861;0,09063;0;1,045266651;T-Cor
PPPU;43253;Psammothidium pseudopunctulatum (Simonsen) Witkowski et Pli?ski                                                                           ;0;0,16162;0,63669;0,20169;0;0;0;1,159534368;T-Cor
PPRD;38987;Prestauroneis protractoides (Hustedt) Q, Liu et Kociolek                                                                                  ;0,0001;0,00143;0,33395;0,4173;0,22058;0,02627;0,00037;0,964368453;T-Cor
PPRI;17662;Pinnularia perirrorata Krammer                                                                                                            ;0,01118;0;0;0,00939;0,01827;0,34387;0,61728;1,19353634;T-Cor
PPRO;17665;Parlibellus protracta (Grunow)Witkowski Lange-Bertalot et Metzeltin var, protractus                                                       ;0,0001;0,00143;0,33395;0,4173;0,22058;0,02627;0,00037;0,964368453;L-P
PPRR;44480;Placoneis placentula var, rostrata (A, Mayer) N,A, Andresen, Stoermer & Kreis                                                             ;0;0;0,01057;0,18743;0,72928;0,0385;0,03421;1,274040094;T-Cor
PPRS;6752;Pseudostaurosira parasitica (W,Smith) Morales var, parasitica                                                                             ;0,00221;0,00215;0,01594;0,11981;0,74426;0,11537;0,00025;1,287294415;L-P
PPRT;38988;Prestauroneis protracta (Grunow ex Cleve) Q, Liu et Kociolek                                                                              ;0,0001;0,00143;0,33395;0,4173;0,22058;0,02627;0,00037;0,964368453;T-Cor
PPSA;8392;Placoneis pseudanglica (Lange-Bertalot) Cox                                                                                               ;0;0;0,00977;0,13953;0,6068;0,24389;0;1,127646808;L-P
PPSC;6753;Pseudostaurosira parasitica var, subconstricta (Grunow) Morales                                                                           ;0,00055;0,00057;0,04367;0,21561;0,64025;0,09465;0,00471;1,153379286;L-P
PPSD;17642;Pseudostaurosira parasitica var, subconstricta f, anormale                                                                                ;0,84623;0,11048;0,02177;0,01822;0,00319;0,0001;0,00001;1,435805882;T-Cor
PPTA;44411;Prestauroneis protracta (Grunow) I,W,Bishop, Minerovic, Q,Liu et Kociolek comb, et stat,nov,                                              ;0,0001;0,00143;0,33395;0,4173;0,22058;0,02627;0,00037;0,964368453;T-Cor
PPTC;44410;Placoneis protracta (Grunow) Mereschkowsky                                                                                                ;0,0001;0,00143;0,33395;0,4173;0,22058;0,02627;0,00037;0,964368453;T-Cor
PPTT;17670;Pseudostaurosira parasitica f, anormale                                                                                                   ;0,84623;0,11048;0,02177;0,01822;0,00319;0,0001;0,00001;1,435805882;T-Cor
PPVR;44475;Placoneis placentula var, rostrata (Mayer) P, Tsarenko                                                                                    ;0;0;0,01057;0,18743;0,72928;0,0385;0,03421;1,274040094;T-Cor
PPVS;17653;Pinnularia parvulissima Krammer                                                                                                           ;0,00076;0,01275;0,78862;0,19748;0,00032;0,00006;0;1,369844897;L-P
PPVT;17674;Pinnularia parvulissima f, anormale                                                                                                       ;0,84623;0,11048;0,02177;0,01822;0,00319;0,0001;0,00001;1,435805882;T-Cor
PRAA;30963;Puncticulata radiosa (Lemmermann) Håkansson f, anormale                                                                                   ;0,84623;0,11048;0,02177;0,01822;0,00319;0,0001;0,00001;1,435805882;T-Cor
PRAD;8731;Puncticulata radiosa (Lemmermann) Håkansson                                                                                               ;0,0218;0,05531;0,11556;0,4669;0,22183;0,11767;0,00094;0,900188927;L-P
PRBT;17714;Planothidium robustius f, anormale                                                                                                        ;0,84623;0,11048;0,02177;0,01822;0,00319;0,0001;0,00001;1,435805882;T-Cor
PRBU;17715;Planothidium robustius (Hustedt) Lange-Bertalot                                                                                           ;0;0;0;0,01673;0,36739;0,33355;0,28233;0,949753124;L-P
PROH;38989;Planothidium rostratoholarcticum Lange-Bertalot et B?k in B?k & Lange-Bertalot                                                            ;0,00674;0,04245;0,1869;0,34437;0,30939;0,10397;0,00619;0,830015289;T-Cor
PROS;17729;Psammothidium rossii (Hustedt) Bukhtiyarova et Round                                                                                      ;0;0;0;0,00365;0,06398;0,93236;0;1,564056833;L-P
PRSI;42878;Pantocsekiella rossii (Håkansson) K,T, Kiss et Ács,                                                                                       ;0;0;0;0,04127;0,86716;0,09157;0;1,466359767;T-Cor
